date,%-close,value,Target
2016-06,JNJ-close,96.7997,1.0
2016-07,JNJ-close,104.1956,1.0
2016-08,JNJ-close,107.5714,1.0
2016-09,JNJ-close,103.1958,0.0
2016-10,JNJ-close,102.1495,0.0
2016-11,JNJ-close,100.299,0.0
2016-12,JNJ-close,96.9109,0.0
2017-01,JNJ-close,100.3154,1.0
2017-02,JNJ-close,98.6088,0.0
2017-03,JNJ-close,107.1041,1.0
2017-04,JNJ-close,109.1548,1.0
2017-05,JNJ-close,108.2083,0.0
2017-06,JNJ-close,113.1378,1.0
2017-07,JNJ-close,116.7018,1.0
2017-08,JNJ-close,117.0811,1.0
2017-09,JNJ-close,117.5172,1.0
2017-10,JNJ-close,115.422,0.0
2017-11,JNJ-close,123.7673,1.0
2017-12,JNJ-close,124.4487,1.0
2018-01,JNJ-close,124.797,1.0
2018-02,JNJ-close,123.4304,0.0
2018-03,JNJ-close,116.7458,0.0
2018-04,JNJ-close,115.1908,0.0
2018-05,JNJ-close,113.6987,0.0
2018-06,JNJ-close,108.32,0.0
2018-07,JNJ-close,109.8776,1.0
2018-08,JNJ-close,120.0014,1.0
2018-09,JNJ-close,122.78,1.0
2018-10,JNJ-close,125.9523,1.0
2018-11,JNJ-close,127.6114,1.0
2018-12,JNJ-close,134.7629,1.0
2019-01,JNJ-close,118.3877,0.0
2019-02,JNJ-close,122.0847,1.0
2019-03,JNJ-close,126.1789,1.0
2019-04,JNJ-close,129.0877,1.0
2019-05,JNJ-close,130.3898,1.0
2019-06,JNJ-close,121.9378,0.0
2019-07,JNJ-close,129.4968,1.0
2019-08,JNJ-close,121.0731,0.0
2019-09,JNJ-close,120.2309,0.0
2019-10,JNJ-close,121.1863,1.0
2019-11,JNJ-close,123.6779,1.0
2019-12,JNJ-close,129.6746,1.0
2020-01,JNJ-close,137.5782,1.0
2020-02,JNJ-close,140.4077,1.0
2020-03,JNJ-close,127.6615,0.0
2020-04,JNJ-close,124.4813,0.0
2020-05,JNJ-close,142.4326,1.0
2020-06,JNJ-close,142.1958,0.0
2020-07,JNJ-close,134.4336,0.0
2020-08,JNJ-close,139.3376,1.0
2020-09,JNJ-close,147.624,1.0
2020-10,JNJ-close,143.2649,0.0
2020-11,JNJ-close,131.9388,0.0
2020-12,JNJ-close,140.2006,1.0
2021-01,JNJ-close,152.5074,1.0
2021-02,JNJ-close,158.0794,1.0
2021-03,JNJ-close,154.5121,0.0
2021-04,JNJ-close,160.2554,1.0
2021-05,JNJ-close,158.6757,0.0
2021-06,JNJ-close,166.059,1.0
2021-07,JNJ-close,161.634,0.0
2021-08,JNJ-close,168.9534,1.0
2021-09,JNJ-close,170.8796,1.0
2021-10,JNJ-close,159.4008,0.0
2021-11,JNJ-close,160.7629,1.0
2021-12,JNJ-close,154.9247,0.0
2022-01,JNJ-close,169.9671,1.0
2022-02,JNJ-close,171.1793,1.0
2022-03,JNJ-close,164.57,0.0
2022-04,JNJ-close,177.23,1.0
