,date,%-close_x,value,string-date_x,combined,Date,%-close_y,EPS,string-date_y
3388,2021-05-28,MCD-close,230.0243,2021-05-28,2021-05-28_MCD-close,,,,
3389,2021-06-30,MCD-close,227.1722,2021-06-30,2021-06-30_MCD-close,2021-06-30,MCD-close,2.33,2021-06-30
3390,2021-07-30,MCD-close,238.6985,2021-07-30,2021-07-30_MCD-close,2021-07-30,MCD-close,2.33,2021-07-30
3391,2021-08-31,MCD-close,234.804,2021-08-31,2021-08-31_MCD-close,2021-08-31,MCD-close,2.33,2021-08-31
3392,2021-09-30,MCD-close,238.4132,2021-09-30,2021-09-30_MCD-close,2021-09-30,MCD-close,2.52,2021-09-30
3393,2021-10-29,MCD-close,242.8035,2021-10-29,2021-10-29_MCD-close,2021-10-29,MCD-close,2.52,2021-10-29
3394,2021-11-30,MCD-close,243.2287,2021-11-30,2021-11-30_MCD-close,2021-11-30,MCD-close,2.52,2021-11-30
3395,2021-12-31,MCD-close,266.5671,2021-12-31,2021-12-31_MCD-close,2021-12-31,MCD-close,3.35,2021-12-31
3396,2022-01-31,MCD-close,257.9954,2022-01-31,2022-01-31_MCD-close,,,,
3397,2022-02-28,MCD-close,244.77,2022-02-28,2022-02-28_MCD-close,,,,
3398,2022-03-31,MCD-close,247.28,2022-03-31,2022-03-31_MCD-close,,,,
3399,2022-04-18,MCD-close,251.06,2022-04-18,2022-04-18_MCD-close,,,,
3400,2015-04-30,AMGN-close,130.1661,2015-04-30,2015-04-30_AMGN-close,2015-04-30,AMGN-close,2.91,2015-04-30
3401,2015-05-29,AMGN-close,129.449,2015-05-29,2015-05-29_AMGN-close,2015-05-29,AMGN-close,2.91,2015-05-29
3402,2015-06-30,AMGN-close,127.1791,2015-06-30,2015-06-30_AMGN-close,2015-06-30,AMGN-close,3.84,2015-06-30
3403,2015-07-31,AMGN-close,146.2908,2015-07-31,2015-07-31_AMGN-close,2015-07-31,AMGN-close,3.84,2015-07-31
3404,2015-08-31,AMGN-close,126.3269,2015-08-31,2015-08-31_AMGN-close,2015-08-31,AMGN-close,3.84,2015-08-31
3405,2015-09-30,AMGN-close,115.0076,2015-09-30,2015-09-30_AMGN-close,2015-09-30,AMGN-close,3.34,2015-09-30
3406,2015-10-30,AMGN-close,131.6537,2015-10-30,2015-10-30_AMGN-close,2015-10-30,AMGN-close,3.34,2015-10-30
3407,2015-11-30,AMGN-close,134.7856,2015-11-30,2015-11-30_AMGN-close,2015-11-30,AMGN-close,3.34,2015-11-30
3408,2015-12-31,AMGN-close,135.8147,2015-12-31,2015-12-31_AMGN-close,2015-12-31,AMGN-close,4.84,2015-12-31
3409,2016-01-29,AMGN-close,127.7827,2016-01-29,2016-01-29_AMGN-close,2016-01-29,AMGN-close,4.84,2016-01-29
3410,2016-02-29,AMGN-close,119.8812,2016-02-29,2016-02-29_AMGN-close,2016-02-29,AMGN-close,4.84,2016-02-29
3411,2016-03-31,AMGN-close,126.3269,2016-03-31,2016-03-31_AMGN-close,2016-03-31,AMGN-close,2.35,2016-03-31
3412,2016-04-29,AMGN-close,133.3792,2016-04-29,2016-04-29_AMGN-close,2016-04-29,AMGN-close,2.35,2016-04-29
