,date,%-close,value
3748,2020-11-30,BRK.B-close,228.91
3749,2020-12-31,BRK.B-close,231.87
3750,2021-01-29,BRK.B-close,227.87
3751,2021-02-26,BRK.B-close,240.51
3752,2021-03-31,BRK.B-close,255.47
3753,2021-04-30,BRK.B-close,274.95
3754,2021-05-28,BRK.B-close,289.44
3755,2021-06-30,BRK.B-close,277.92
3756,2021-07-30,BRK.B-close,278.29
3757,2021-08-31,BRK.B-close,285.77
3758,2021-09-30,BRK.B-close,272.94
3759,2021-10-29,BRK.B-close,287.01
3760,2021-11-30,BRK.B-close,276.69
3761,2021-12-31,BRK.B-close,299.0
3762,2022-01-31,BRK.B-close,313.02
3763,2022-02-28,BRK.B-close,321.45
3764,2022-03-31,BRK.B-close,352.91
3765,2022-04-18,BRK.B-close,346.65
3766,1999-12-31,T-close,10.5646
3767,2000-01-31,T-close,9.3443
3768,2000-02-29,T-close,8.2264
3769,2000-03-31,T-close,9.1808
3770,2000-04-28,T-close,9.5989
3771,2000-05-31,T-close,9.5989
3772,2000-06-30,T-close,9.6406
3773,2000-07-31,T-close,9.3793
3774,2000-08-31,T-close,9.2052
3775,2000-09-29,T-close,10.9924
3776,2000-10-31,T-close,12.7738
3777,2000-11-30,T-close,12.1649
3778,2000-12-29,T-close,10.5729
3779,2001-01-31,T-close,10.7599
3780,2001-02-28,T-close,10.6153
3781,2001-03-30,T-close,9.9409
3782,2001-04-30,T-close,9.2424
3783,2001-05-31,T-close,9.6457
3784,2001-06-29,T-close,8.9843
3785,2001-07-31,T-close,10.1637
3786,2001-08-31,T-close,9.2337
3787,2001-09-28,T-close,10.6438
3788,2001-10-31,T-close,8.6577
3789,2001-11-30,T-close,8.4919
3790,2001-12-31,T-close,8.9069
3791,2002-01-31,T-close,8.5707
3792,2002-02-28,T-close,8.66
3793,2002-03-28,T-close,8.5768
3794,2002-04-30,T-close,7.1679
3795,2002-05-31,T-close,7.9133
3796,2002-06-28,T-close,7.0476
3797,2002-07-31,T-close,6.4459
3798,2002-08-30,T-close,5.7655
3799,2002-09-30,T-close,4.6922
3800,2002-10-31,T-close,6.0691
3801,2002-11-29,T-close,6.7408
3802,2002-12-31,T-close,6.4561
3803,2003-01-31,T-close,5.8749
3804,2003-02-28,T-close,4.9999
3805,2003-03-31,T-close,4.8654
3806,2003-04-30,T-close,5.7534
3807,2003-05-30,T-close,6.2707
3808,2003-06-30,T-close,6.3382
3809,2003-07-31,T-close,5.8798
3810,2003-08-29,T-close,5.6532
3811,2003-09-30,T-close,5.6613
3812,2003-10-31,T-close,6.2068
3813,2003-11-28,T-close,6.0257
3814,2003-12-31,T-close,6.8097
3815,2004-01-30,T-close,6.7376
3816,2004-02-27,T-close,6.3439
3817,2004-03-31,T-close,6.5475
3818,2004-04-30,T-close,6.7265
3819,2004-05-28,T-close,6.4023
3820,2004-06-30,T-close,6.6153
3821,2004-07-30,T-close,7.0032
3822,2004-08-31,T-close,7.1276
3823,2004-09-30,T-close,7.2378
3824,2004-10-29,T-close,7.1264
3825,2004-11-30,T-close,7.101
3826,2004-12-31,T-close,7.337
3827,2005-01-31,T-close,6.8515
3828,2005-02-28,T-close,6.938
3829,2005-03-31,T-close,6.9009
3830,2005-04-29,T-close,7.0264
3831,2005-05-31,T-close,6.9024
3832,2005-06-30,T-close,7.0116
3833,2005-07-29,T-close,7.2909
3834,2005-08-31,T-close,7.1806
3835,2005-09-30,T-close,7.1478
3836,2005-10-31,T-close,7.1844
3837,2005-11-30,T-close,7.5037
3838,2005-12-30,T-close,7.3772
3839,2006-01-31,T-close,7.9213
3840,2006-02-28,T-close,8.4219
3841,2006-03-31,T-close,8.254
3842,2006-04-28,T-close,8.1012
3843,2006-05-31,T-close,8.0549
3844,2006-06-30,T-close,8.6205
3845,2006-07-31,T-close,9.381
3846,2006-08-31,T-close,9.7376
3847,2006-09-29,T-close,10.1849
3848,2006-10-31,T-close,10.8251
3849,2006-11-30,T-close,10.7177
3850,2006-12-29,T-close,11.2992
3851,2007-01-31,T-close,12.0183
3852,2007-02-28,T-close,11.7532
