,4b. close (USD),5. volume,6. market cap (USD)
2021-08-26,3093.20000000,442298.47372000,442298.47372000
2021-08-25,3226.87000000,483697.69444000,483697.69444000
2021-08-24,3170.62000000,540480.07853000,540480.07853000
2021-08-23,3321.28000000,602103.44614000,602103.44614000
2021-08-22,3238.00000000,406479.07654000,406479.07654000
2021-08-21,3223.43000000,421156.09084000,421156.09084000
2021-08-20,3284.82000000,558127.45540000,558127.45540000
2021-08-19,3184.12000000,634769.92174000,634769.92174000
2021-08-18,3014.55000000,625103.25568000,625103.25568000
2021-08-17,3011.72000000,804996.06971000,804996.06971000
2021-08-16,3146.53000000,635667.05422000,635667.05422000
2021-08-15,3307.09000000,565579.67765000,565579.67765000
2021-08-14,3263.16000000,486102.53787000,486102.53787000
2021-08-13,3322.32000000,579333.40323000,579333.40323000
2021-08-12,3045.96000000,737628.45808000,737628.45808000
2021-08-11,3160.50000000,732546.60433000,732546.60433000
2021-08-10,3141.66000000,880675.74443000,880675.74443000
2021-08-09,3160.52000000,1129584.61614000,1129584.61614000
2021-08-08,3011.85000000,966349.70579000,966349.70579000
2021-08-07,3160.31000000,1205277.10095000,1205277.10095000
2021-08-06,2891.58000000,825399.48637000,825399.48637000
2021-08-05,2826.99000000,1307720.20654000,1307720.20654000
2021-08-04,2724.78000000,954590.75360000,954590.75360000
2021-08-03,2509.04000000,792960.84375000,792960.84375000
2021-08-02,2606.93000000,726701.84952000,726701.84952000
2021-08-01,2555.69000000,853495.94078000,853495.94078000
2021-07-31,2531.05000000,507601.05026000,507601.05026000
2021-07-30,2461.81000000,762577.28797000,762577.28797000
2021-07-29,2382.92000000,499364.83496000,499364.83496000
2021-07-28,2300.90000000,718202.57727000,718202.57727000
2021-07-27,2299.49000000,906359.23478000,906359.23478000
2021-07-26,2228.08000000,1393738.16300000,1393738.16300000
2021-07-25,2189.79000000,535630.27000000,535630.27000000
2021-07-24,2184.75000000,633075.18592000,633075.18592000
2021-07-23,2124.25000000,708160.91322000,708160.91322000
2021-07-22,2024.56000000,768854.36590000,768854.36590000
2021-07-21,1995.50000000,1115949.82033000,1115949.82033000
2021-07-20,1786.03000000,786257.27200000,786257.27200000
2021-07-19,1818.73000000,547419.93771000,547419.93771000
2021-07-18,1891.64000000,534837.63654000,534837.63654000
