,4b. close (USD),5. volume,6. market cap (USD)
2021-03-09,54884.50000000,71656.73707600,71656.73707600
2021-03-08,52375.17000000,66987.35966400,66987.35966400
2021-03-07,50971.75000000,55235.02803200,55235.02803200
2021-03-06,48882.20000000,44399.23424200,44399.23424200
2021-03-05,48751.71000000,78192.49637200,78192.49637200
2021-03-04,48374.09000000,82649.71682900,82649.71682900
2021-03-03,50349.37000000,81035.91370500,81035.91370500
2021-03-02,48440.65000000,64221.06214000,64221.06214000
2021-03-01,49587.03000000,85086.11164800,85086.11164800
2021-02-28,45135.66000000,83055.36904200,83055.36904200
2021-02-27,46106.43000000,66060.83429200,66060.83429200
2021-02-26,46276.87000000,109423.20066300,109423.20066300
2021-02-25,47073.73000000,83310.67312100,83310.67312100
2021-02-24,49676.20000000,91881.20925200,91881.20925200
2021-02-23,48891.00000000,169375.02505100,169375.02505100
2021-02-22,54087.67000000,134019.43494400,134019.43494400
2021-02-21,57408.57000000,58166.70851100,58166.70851100
2021-02-20,55841.19000000,80948.20531400,80948.20531400
2021-02-19,55906.00000000,79659.77802000,79659.77802000
2021-02-18,51552.60000000,60758.04695400,60758.04695400
2021-02-17,52119.71000000,85743.63781800,85743.63781800
2021-02-16,49133.45000000,88813.26629800,88813.26629800
2021-02-15,47911.10000000,79398.15678400,79398.15678400
2021-02-14,48577.79000000,73735.47553300,73735.47553300
2021-02-13,47153.69000000,63768.09739900,63768.09739900
2021-02-12,47287.60000000,85870.03569700,85870.03569700
2021-02-11,47969.51000000,89561.08145400,89561.08145400
2021-02-10,44807.58000000,97154.18220000,97154.18220000
2021-02-09,46420.42000000,115499.86171200,115499.86171200
2021-02-08,46374.87000000,138597.53691400,138597.53691400
2021-02-07,38795.69000000,84363.67976300,84363.67976300
2021-02-06,39186.94000000,98757.31118300,98757.31118300
2021-02-05,38290.24000000,66681.33427500,66681.33427500
2021-02-04,36936.66000000,92080.73589800,92080.73589800
2021-02-03,37618.87000000,80784.33366300,80784.33366300
2021-02-02,35466.24000000,78056.65988000,78056.65988000
2021-02-01,33526.37000000,82718.27688200,82718.27688200
2021-01-31,33092.98000000,68742.28038400,68742.28038400
2021-01-30,34262.88000000,84889.68134000,84889.68134000
2021-01-29,34252.20000000,231827.00562600,231827.00562600
2021-01-28,33364.86000000,92621.14561700,92621.14561700
2021-01-27,30366.15000000,95911.96171100,95911.96171100
2021-01-26,32467.77000000,84972.20691000,84972.20691000
2021-01-25,32254.20000000,88499.22692100,88499.22692100
2021-01-24,32259.90000000,57978.03796600,57978.03796600
2021-01-23,32078.00000000,64595.28767500,64595.28767500
2021-01-22,32945.17000000,142971.68404900,142971.68404900
2021-01-21,30850.13000000,131803.18292600,131803.18292600
2021-01-20,35468.23000000,89368.42291800,89368.42291800
2021-01-19,35891.49000000,79611.30776900,79611.30776900
2021-01-18,36631.27000000,70698.11875000,70698.11875000
2021-01-17,35828.61000000,80157.72738400,80157.72738400
2021-01-16,35994.98000000,86348.43150800,86348.43150800
2021-01-15,36742.22000000,118300.92091600,118300.92091600
2021-01-14,39144.50000000,102950.38942100,102950.38942100
2021-01-13,37371.38000000,124477.91493800,124477.91493800
2021-01-12,34051.24000000,133948.15199600,133948.15199600
2021-01-11,35404.47000000,249131.53994300,249131.53994300
2021-01-10,38150.02000000,118209.54450300,118209.54450300
2021-01-09,40088.22000000,75785.97967500,75785.97967500
2021-01-08,40582.81000000,139789.95749900,139789.95749900
2021-01-07,39432.28000000,132825.70043700,132825.70043700
2021-01-06,36769.36000000,127139.20131000,127139.20131000
2021-01-05,33949.53000000,116049.99703800,116049.99703800
2021-01-04,31988.71000000,140899.88569000,140899.88569000
2021-01-03,33000.05000000,120957.56675000,120957.56675000
2021-01-02,32178.33000000,129993.87336200,129993.87336200
2021-01-01,29331.69000000,54182.92501100,54182.92501100
2020-12-31,28923.63000000,75508.50515200,75508.50515200
2020-12-30,28875.54000000,95356.05782600,95356.05782600
2020-12-29,27385.00000000,69411.59260600,69411.59260600
2020-12-28,27079.41000000,79721.74249600,79721.74249600
2020-12-27,26281.66000000,148455.58621400,148455.58621400
2020-12-26,26493.39000000,97806.51338600,97806.51338600
2020-12-25,24712.47000000,79519.94356900,79519.94356900
2020-12-24,23729.20000000,69013.83425200,69013.83425200
2020-12-23,23232.76000000,119047.25973300,119047.25973300
2020-12-22,23810.79000000,87033.12616000,87033.12616000
2020-12-21,22719.71000000,88030.29724300,88030.29724300
2020-12-20,23455.52000000,76690.14568500,76690.14568500
2020-12-19,23821.61000000,86045.06467700,86045.06467700
2020-12-18,23107.39000000,79646.13431500,79646.13431500
2020-12-17,22797.16000000,184882.47674800,184882.47674800
2020-12-16,21335.52000000,114306.33557000,114306.33557000
2020-12-15,19426.43000000,61834.36601100,61834.36601100
2020-12-14,19273.14000000,47257.20129400,47257.20129400
2020-12-13,19174.99000000,56560.82174400,56560.82174400
2020-12-12,18808.69000000,49519.97843200,49519.97843200
2020-12-11,18036.53000000,72610.72425900,72610.72425900
2020-12-10,18254.63000000,52890.67509400,52890.67509400
2020-12-09,18541.28000000,79585.55380100,79585.55380100
2020-12-08,18324.11000000,61626.94761400,61626.94761400
2020-12-07,19166.90000000,41372.29629300,41372.29629300
2020-12-06,19359.40000000,37043.09186100,37043.09186100
2020-12-05,19147.66000000,42922.74857300,42922.74857300
2020-12-04,18650.52000000,71283.66820000,71283.66820000
2020-12-03,19421.90000000,66689.39127900,66689.39127900
2020-12-02,19204.09000000,75911.01347800,75911.01347800
2020-12-01,18764.96000000,127698.76265200,127698.76265200
2020-11-30,19695.87000000,115463.46688800,115463.46688800
2020-11-29,18184.99000000,55329.01630300,55329.01630300
2020-11-28,17719.85000000,64910.69997000,64910.69997000
2020-11-27,17139.52000000,85297.02478700,85297.02478700
2020-11-26,17149.47000000,181005.24669300,181005.24669300
2020-11-25,18719.11000000,93266.57688700,93266.57688700
2020-11-24,19160.01000000,113581.50924100,113581.50924100
2020-11-23,18368.00000000,82961.50609300,82961.50609300
2020-11-22,18414.43000000,81645.73777800,81645.73777800
2020-11-21,18703.80000000,75577.45839400,75577.45839400
2020-11-20,18655.67000000,88423.01848900,88423.01848900
2020-11-19,17802.82000000,93009.56100800,93009.56100800
2020-11-18,17776.12000000,149019.78813400,149019.78813400
2020-11-17,17659.38000000,115221.40310200,115221.40310200
2020-11-16,16713.57000000,81300.67592400,81300.67592400
2020-11-15,15957.00000000,43596.84151300,43596.84151300
2020-11-14,16070.45000000,59116.34717900,59116.34717900
2020-11-13,16320.70000000,75691.88101400,75691.88101400
2020-11-12,16291.86000000,102196.35659200,102196.35659200
2020-11-11,15684.24000000,78469.74645800,78469.74645800
2020-11-10,15297.21000000,61681.91960600,61681.91960600
2020-11-09,15328.41000000,108976.33413400,108976.33413400
2020-11-08,15475.10000000,65547.17857400,65547.17857400
2020-11-07,14818.30000000,101431.20655300,101431.20655300
2020-11-06,15579.92000000,122618.19769500,122618.19769500
2020-11-05,15590.02000000,143741.52267300,143741.52267300
2020-11-04,14144.01000000,93016.98826200,93016.98826200
2020-11-03,14023.53000000,74115.63078700,74115.63078700
2020-11-02,13549.37000000,64566.42190800,64566.42190800
2020-11-01,13761.50000000,36285.64852600,36285.64852600
2020-10-31,13791.00000000,67339.23851500,67339.23851500
2020-10-30,13560.10000000,70657.77888100,70657.77888100
2020-10-29,13455.70000000,74872.60213200,74872.60213200
2020-10-28,13266.40000000,94440.56122600,94440.56122600
2020-10-27,13636.17000000,80796.55399600,80796.55399600
2020-10-26,13052.19000000,60951.67298600,60951.67298600
2020-10-25,13028.83000000,38481.57950400,38481.57950400
2020-10-24,13111.73000000,35952.20907000,35952.20907000
2020-10-23,12923.07000000,50386.99984100,50386.99984100
2020-10-22,12968.52000000,70038.82414400,70038.82414400
2020-10-21,12780.96000000,114584.45676700,114584.45676700
2020-10-20,11909.99000000,62134.75066300,62134.75066300
2020-10-19,11751.47000000,47414.53469200,47414.53469200
2020-10-18,11503.14000000,23284.04119100,23284.04119100
2020-10-17,11360.20000000,22368.91524100,22368.91524100
2020-10-16,11319.32000000,48797.74950200,48797.74950200
2020-10-15,11505.12000000,48760.71767900,48760.71767900
2020-10-14,11417.89000000,41415.10601500,41415.10601500
2020-10-13,11420.56000000,42205.28370900,42205.28370900
2020-10-12,11528.25000000,52825.28371000,52825.28371000
2020-10-11,11369.02000000,29043.85133900,29043.85133900
2020-10-10,11293.22000000,43648.03694300,43648.03694300
2020-10-09,11050.64000000,48240.07323700,48240.07323700
2020-10-08,10925.57000000,51959.69157200,51959.69157200
2020-10-07,10666.39000000,32811.99027900,32811.99027900
2020-10-06,10599.66000000,48674.74047100,48674.74047100
