,4b. close (USD),5. volume,6. market cap (USD)
2021-04-22,1.15489000,1771540957.59999990,1771540957.59999990
2021-04-21,1.29097000,1301403506.40000010,1301403506.40000010
2021-04-20,1.38501000,1522196293.50000000,1522196293.50000000
2021-04-19,1.30945000,1608073829.40000010,1608073829.40000010
2021-04-18,1.40797000,2048345301.59999990,2048345301.59999990
2021-04-17,1.53896000,1108826379.50000000,1108826379.50000000
2021-04-16,1.54805000,1805450664.79999995,1805450664.79999995
2021-04-15,1.75781000,1124377879.59999990,1124377879.59999990
2021-04-14,1.83468000,2119704174.50000000,2119704174.50000000
2021-04-13,1.79611000,2515240116.42000008,2515240116.42000008
2021-04-12,1.46843000,1129501823.79999995,1129501823.79999995
2021-04-11,1.35118000,1972667902.40000010,1972667902.40000010
2021-04-10,1.37280000,2713439019.67999983,2713439019.67999983
2021-04-09,1.01721000,964539570.10000002,964539570.10000002
2021-04-08,1.05599000,1232242484.40000010,1232242484.40000010
2021-04-07,0.91542000,2128341583.90000010,2128341583.90000010
2021-04-06,1.09663000,4053245753.09000015,4053245753.09000015
2021-04-05,0.91584000,3325470561.46999979,3325470561.46999979
2021-04-04,0.63500000,664457346.20000005,664457346.20000005
2021-04-03,0.57831000,991064844.79999995,991064844.79999995
2021-04-02,0.60701000,800475396.39999998,800475396.39999998
2021-04-01,0.57087000,710919375.00000000,710919375.00000000
2021-03-31,0.56982000,666984204.29999995,666984204.29999995
2021-03-30,0.56210000,574769642.50000000,574769642.50000000
2021-03-29,0.56538000,534252547.30000001,534252547.30000001
2021-03-28,0.54552000,341522011.50000000,341522011.50000000
2021-03-27,0.54752000,455498717.69999999,455498717.69999999
2021-03-26,0.56357000,737749968.50000000,737749968.50000000
2021-03-25,0.51058000,914285330.60000002,914285330.60000002
2021-03-24,0.48021000,894167588.10000002,894167588.10000002
2021-03-23,0.54980000,1094151403.29999995,1094151403.29999995
2021-03-22,0.54410000,1648699048.00000000,1648699048.00000000
2021-03-21,0.51651000,879573341.29999995,879573341.29999995
2021-03-20,0.52613000,1164006494.70000005,1164006494.70000005
2021-03-19,0.46651000,336947303.50000000,336947303.50000000
2021-03-18,0.46893000,555296456.60000002,555296456.60000002
2021-03-17,0.46980000,564997453.70000005,564997453.70000005
2021-03-16,0.46024000,1446818353.79999995,1446818353.79999995
2021-03-15,0.43574000,531041051.89999998,531041051.89999998
2021-03-14,0.43905000,415693265.60000002,415693265.60000002
2021-03-13,0.45787000,547809975.20000005,547809975.20000005
2021-03-12,0.43934000,665250842.70000005,665250842.70000005
2021-03-11,0.45187000,535040848.19999999,535040848.19999999
2021-03-10,0.46155000,597205849.70000005,597205849.70000005
2021-03-09,0.48490000,495494329.00000000,495494329.00000000
2021-03-08,0.47412000,680852595.89999998,680852595.89999998
2021-03-07,0.46558000,325973214.89999998,325973214.89999998
2021-03-06,0.46285000,365972027.50000000,365972027.50000000
2021-03-05,0.45457000,751282004.70000005,751282004.70000005
2021-03-04,0.48096000,1244989352.00000000,1244989352.00000000
2021-03-03,0.44846000,642007609.00000000,642007609.00000000
2021-03-02,0.43570000,645438020.00000000,645438020.00000000
2021-03-01,0.44537000,600649056.60000002,600649056.60000002
2021-02-28,0.41565000,674797992.79999995,674797992.79999995
2021-02-27,0.43589000,612147484.79999995,612147484.79999995
2021-02-26,0.42788000,908467259.50000000,908467259.50000000
2021-02-25,0.43601000,709823716.20000005,709823716.20000005
2021-02-24,0.46860000,984714285.39999998,984714285.39999998
2021-02-23,0.47579000,2563543339.59999990,2563543339.59999990
2021-02-22,0.56646000,3572076523.40000010,3572076523.40000010
2021-02-21,0.54468000,1017475385.10000002,1017475385.10000002
2021-02-20,0.51167000,1247480282.20000005,1247480282.20000005
2021-02-19,0.56465000,1130348604.29999995,1130348604.29999995
2021-02-18,0.53204000,761631484.10000002,761631484.10000002
2021-02-17,0.53467000,908599648.50000000,908599648.50000000
2021-02-16,0.51995000,1153641290.09999990,1153641290.09999990
2021-02-15,0.54976000,1222510382.90000010,1222510382.90000010
2021-02-14,0.59211000,1010016902.29999995,1010016902.29999995
2021-02-13,0.63309000,1595483419.29999995,1595483419.29999995
2021-02-12,0.60900000,1672053608.29999995,1672053608.29999995
2021-02-11,0.52806000,961402272.20000005,961402272.20000005
2021-02-10,0.50429000,2024774430.59999990,2024774430.59999990
2021-02-09,0.47636000,1273716203.29999995,1273716203.29999995
2021-02-08,0.45099000,1149266957.29999995,1149266957.29999995
2021-02-07,0.41849000,1141620049.09999990,1141620049.09999990
2021-02-06,0.44307000,875771045.89999998,875771045.89999998
2021-02-05,0.45219000,1545115910.29999995,1545115910.29999995
2021-02-04,0.44545000,2283530912.59999990,2283530912.59999990
2021-02-03,0.39721000,1388316884.00000000,1388316884.00000000
2021-02-02,0.37254000,2091912007.79999995,2091912007.79999995
2021-02-01,0.37106000,8608358082.60000038,8608358082.60000038
2021-01-31,0.49507000,4524657686.80000019,4524657686.80000019
2021-01-30,0.44372000,5872830448.00000000,5872830448.00000000
2021-01-29,0.28290000,1695844598.79999995,1695844598.79999995
2021-01-28,0.26407000,496218434.00000000,496218434.00000000
2021-01-27,0.25039000,468085255.10000002,468085255.10000002
2021-01-26,0.26834000,383692292.10000002,383692292.10000002
2021-01-25,0.26757000,483145818.39999998,483145818.39999998
2021-01-24,0.27339000,353391385.89999998,353391385.89999998
2021-01-23,0.27167000,446546595.39999998,446546595.39999998
2021-01-22,0.27217000,799861140.29999995,799861140.29999995
2021-01-21,0.26802000,908284050.20000005,908284050.20000005
2021-01-20,0.29539000,850365454.50000000,850365454.50000000
2021-01-19,0.29396000,1267033309.59999990,1267033309.59999990
2021-01-18,0.28528000,536544377.10000002,536544377.10000002
2021-01-17,0.27746000,543053977.79999995,543053977.79999995
2021-01-16,0.27924000,749907244.39999998,749907244.39999998
2021-01-15,0.27991000,844991903.50000000,844991903.50000000
2021-01-14,0.29642000,887903603.50000000,887903603.50000000
2021-01-13,0.30582000,764981853.89999998,764981853.89999998
2021-01-12,0.29254000,1100343591.00000000,1100343591.00000000
2021-01-11,0.28743000,1963655151.79999995,1963655151.79999995
2021-01-10,0.31491000,1717325406.40000010,1717325406.40000010
2021-01-09,0.32419000,1177910308.90000010,1177910308.90000010
2021-01-08,0.32032000,2029015562.50000000,2029015562.50000000
2021-01-07,0.32389000,3863585524.30000019,3863585524.30000019
2021-01-06,0.24854000,1776262975.40000010,1776262975.40000010
2021-01-05,0.22573000,1184439077.09999990,1184439077.09999990
2021-01-04,0.23565000,1518296110.40000010,1518296110.40000010
2021-01-03,0.22540000,1178158964.40000010,1178158964.40000010
2021-01-02,0.22064000,1134029208.29999995,1134029208.29999995
2021-01-01,0.23746000,1490489727.40000010,1490489727.40000010
2020-12-31,0.21959000,1391876889.90000010,1391876889.90000010
2020-12-30,0.21138000,2578637039.09999990,2578637039.09999990
2020-12-29,0.22142000,4215576309.19999981,4215576309.19999981
2020-12-28,0.24845000,1547274302.20000005,1547274302.20000005
2020-12-27,0.28407000,1453625832.00000000,1453625832.00000000
2020-12-26,0.29481000,1685723998.70000005,1685723998.70000005
2020-12-25,0.31768000,3342216004.00000000,3342216004.00000000
2020-12-24,0.33863000,3822010234.69999981,3822010234.69999981
2020-12-23,0.26050000,4553848887.39999962,4553848887.39999962
2020-12-22,0.44642000,1509931701.20000005,1509931701.20000005
2020-12-21,0.51445000,593235772.10000002,593235772.10000002
2020-12-20,0.55586000,544352722.10000002,544352722.10000002
2020-12-19,0.57666000,614731783.60000002,614731783.60000002
2020-12-18,0.58337000,970255895.50000000,970255895.50000000
2020-12-17,0.57690000,1801379927.59999990,1801379927.59999990
2020-12-16,0.56941000,1249912571.20000005,1249912571.20000005
2020-12-15,0.46793000,514053464.10000002,514053464.10000002
2020-12-14,0.49740000,375701995.00000000,375701995.00000000
2020-12-13,0.51365000,602985171.89999998,602985171.89999998
2020-12-12,0.50658000,997933196.60000002,997933196.60000002
2020-12-11,0.54945000,952325951.70000005,952325951.70000005
2020-12-10,0.57267000,558676539.10000002,558676539.10000002
2020-12-09,0.58265000,927273510.29999995,927273510.29999995
2020-12-08,0.55890000,500942717.00000000,500942717.00000000
2020-12-07,0.60818000,386644252.10000002,386644252.10000002
2020-12-06,0.62107000,639023167.70000005,639023167.70000005
2020-12-05,0.58517000,432888774.10000002,432888774.10000002
2020-12-04,0.55367000,662141348.00000000,662141348.00000000
2020-12-03,0.63046000,392655662.89999998,392655662.89999998
2020-12-02,0.62972000,593876086.79999995,593876086.79999995
2020-12-01,0.61088000,1075049125.00000000,1075049125.00000000
2020-11-30,0.66417000,1178919882.29999995,1178919882.29999995
2020-11-29,0.60543000,857628664.79999995,857628664.79999995
2020-11-28,0.62579000,1276241318.50000000,1276241318.50000000
2020-11-27,0.56230000,1241200699.59999990,1241200699.59999990
2020-11-26,0.53654000,2334291327.19999981,2334291327.19999981
2020-11-25,0.63022000,1690578550.20000005,1690578550.20000005
2020-11-24,0.69400000,2884741162.09999990,2884741162.09999990
2020-11-23,0.61579000,1851054399.59999990,1851054399.59999990
2020-11-22,0.44611000,1873986909.79999995,1873986909.79999995
2020-11-21,0.46283000,1667089858.09999990,1667089858.09999990
2020-11-20,0.32991000,484828433.30000001,484828433.30000001
2020-11-19,0.30358000,361076482.19999999,361076482.19999999
2020-11-18,0.29335000,488657752.69999999,488657752.69999999
2020-11-17,0.30247000,529073040.69999999,529073040.69999999
2020-11-16,0.28813000,321242912.30000001,321242912.30000001
2020-11-15,0.26954000,224828544.80000001,224828544.80000001
2020-11-14,0.26824000,319194414.60000002,319194414.60000002
2020-11-13,0.26590000,193021203.09999999,193021203.09999999
2020-11-12,0.25490000,139776053.69999999,139776053.69999999
2020-11-11,0.25581000,155421758.59999999,155421758.59999999
2020-11-10,0.25380000,250018160.40000001,250018160.40000001
2020-11-09,0.25059000,161129039.00000000,161129039.00000000
2020-11-08,0.25374000,119757768.59999999,119757768.59999999
2020-11-07,0.24910000,263707018.00000000,263707018.00000000
2020-11-06,0.25863000,289253502.69999999,289253502.69999999
2020-11-05,0.24561000,220616913.30000001,220616913.30000001
2020-11-04,0.23758000,175258053.09999999,175258053.09999999
2020-11-03,0.23960000,213624345.80000001,213624345.80000001
2020-11-02,0.23523000,130300920.09999999,130300920.09999999
2020-11-01,0.23999000,64775047.60000000,64775047.60000000
2020-10-31,0.23968000,84576060.90000001,84576060.90000001
2020-10-30,0.23905000,133423159.80000000,133423159.80000000
2020-10-29,0.24239000,127858202.59999999,127858202.59999999
2020-10-28,0.24540000,152758067.19999999,152758067.19999999
2020-10-27,0.25273000,125197460.40000001,125197460.40000001
2020-10-26,0.24810000,153008505.90000001,153008505.90000001
2020-10-25,0.25313000,70096933.80000000,70096933.80000000
2020-10-24,0.25620000,71861131.80000000,71861131.80000000
2020-10-23,0.25471000,145732428.50000000,145732428.50000000
2020-10-22,0.25709000,262479836.09999999,262479836.09999999
2020-10-21,0.25088000,213403919.30000001,213403919.30000001
2020-10-20,0.24322000,142586108.19999999,142586108.19999999
2020-10-19,0.24558000,144261234.69999999,144261234.69999999
2020-10-18,0.24221000,59622713.20000000,59622713.20000000
2020-10-17,0.24057000,76204228.70000000,76204228.70000000
2020-10-16,0.24011000,149640393.00000000,149640393.00000000
2020-10-15,0.24596000,157801611.00000000,157801611.00000000
2020-10-14,0.24906000,200090976.69999999,200090976.69999999
2020-10-13,0.25650000,232496747.40000001,232496747.40000001
2020-10-12,0.25603000,225658413.59999999,225658413.59999999
2020-10-11,0.25544000,129208149.40000001,129208149.40000001
2020-10-10,0.25402000,165954957.19999999,165954957.19999999
2020-10-09,0.25293000,192476557.59999999,192476557.59999999
2020-10-08,0.25141000,197900153.09999999,197900153.09999999
2020-10-07,0.24870000,177097434.19999999,177097434.19999999
2020-10-06,0.24545000,378003616.39999998,378003616.39999998
2020-10-05,0.25030000,228844024.40000001,228844024.40000001
2020-10-04,0.24794000,157014929.50000000,157014929.50000000
2020-10-03,0.23273000,59902666.50000000,59902666.50000000
2020-10-02,0.23386000,146884020.30000001,146884020.30000001
2020-10-01,0.23819000,127335773.70000000,127335773.70000000
2020-09-30,0.24171000,101266167.80000000,101266167.80000000
2020-09-29,0.24285000,109204653.30000000,109204653.30000000
2020-09-28,0.24107000,121590934.40000001,121590934.40000001
2020-09-27,0.24334000,91772023.90000001,91772023.90000001
2020-09-26,0.24153000,113365429.59999999,113365429.59999999
2020-09-25,0.24154000,146717481.09999999,146717481.09999999
2020-09-24,0.23276000,173682650.69999999,173682650.69999999
2020-09-23,0.22164000,148246113.40000001,148246113.40000001
2020-09-22,0.23302000,113084575.20000000,113084575.20000000
2020-09-21,0.23102000,232559544.30000001,232559544.30000001
2020-09-20,0.24652000,100830684.40000001,100830684.40000001
2020-09-19,0.25112000,94380999.09999999,94380999.09999999
2020-09-18,0.25065000,123918267.59999999,123918267.59999999
2020-09-17,0.25214000,195903905.09999999,195903905.09999999
2020-09-16,0.24686000,155437121.50000000,155437121.50000000
2020-09-15,0.24331000,123397806.30000000,123397806.30000000
2020-09-14,0.24564000,128679809.90000001,128679809.90000001
2020-09-13,0.24218000,134508183.69999999,134508183.69999999
2020-09-12,0.24752000,90026751.20000000,90026751.20000000
2020-09-11,0.24252000,102995486.80000000,102995486.80000000
2020-09-10,0.24302000,150794017.69999999,150794017.69999999
2020-09-09,0.23901000,120931648.70000000,120931648.70000000
2020-09-08,0.23657000,185386436.09999999,185386436.09999999
2020-09-07,0.24198000,217149074.30000001,217149074.30000001
2020-09-06,0.23986000,245971020.19999999,245971020.19999999
2020-09-05,0.23738000,343014820.30000001,343014820.30000001
2020-09-04,0.25385000,347276927.60000002,347276927.60000002
2020-09-03,0.24409000,375303316.19999999,375303316.19999999
2020-09-02,0.27595000,367857288.89999998,367857288.89999998
2020-09-01,0.29521000,292160051.60000002,292160051.60000002
2020-08-31,0.28115000,164541572.90000001,164541572.90000001
2020-08-30,0.28302000,157541548.00000000,157541548.00000000
2020-08-29,0.27380000,120917456.40000001,120917456.40000001
2020-08-28,0.27174000,161315866.69999999,161315866.69999999
2020-08-27,0.26469000,271350415.89999998,271350415.89999998
2020-08-26,0.27653000,153029000.50000000,153029000.50000000
2020-08-25,0.27625000,234190707.50000000,234190707.50000000
2020-08-24,0.28840000,163849857.19999999,163849857.19999999
2020-08-23,0.28480000,147758018.40000001,147758018.40000001
2020-08-22,0.28592000,200686126.80000001,200686126.80000001
2020-08-21,0.27933000,295142831.10000002,295142831.10000002
2020-08-20,0.29218000,217335773.00000000,217335773.00000000
2020-08-19,0.28975000,390658603.19999999,390658603.19999999
2020-08-18,0.30251000,406775389.69999999,406775389.69999999
2020-08-17,0.31539000,598471473.50000000,598471473.50000000
2020-08-16,0.30455000,272817352.50000000,272817352.50000000
2020-08-15,0.29884000,323612283.19999999,323612283.19999999
2020-08-14,0.29995000,419013955.80000001,419013955.80000001
2020-08-13,0.29420000,343559052.19999999,343559052.19999999
2020-08-12,0.28233000,301659248.80000001,301659248.80000001
2020-08-11,0.28310000,454328410.00000000,454328410.00000000
2020-08-10,0.29469000,357730182.00000000,357730182.00000000
2020-08-09,0.28790000,194741043.19999999,194741043.19999999
2020-08-08,0.29527000,180632239.19999999,180632239.19999999
2020-08-07,0.29437000,350058017.30000001,350058017.30000001
2020-08-06,0.30311000,315511639.89999998,315511639.89999998
2020-08-05,0.30228000,377922454.80000001,377922454.80000001
2020-08-04,0.30138000,523509311.00000000,523509311.00000000
2020-08-03,0.31016000,661998402.39999998,661998402.39999998
2020-08-02,0.28803000,1089709098.70000005,1089709098.70000005
2020-08-01,0.29089000,698526256.70000005,698526256.70000005
2020-07-31,0.25939000,295712939.10000002,295712939.10000002
2020-07-30,0.24408000,339560922.19999999,339560922.19999999
2020-07-29,0.24327000,423604274.80000001,423604274.80000001
